rainfall,temperature,humidity,wind_speed,pressure,moisture_index,instability_index,pressure_drop,rain_intensity,risk_label
0.0,32.125,62.0,2.535,1007.0,0.0,1991.75,6.0,0.0,0
0.1,32.125,62.0,2.535,1007.0,6.2,1991.75,6.0,0.2535,0
0.0,32.125,62.0,2.535,1007.0,0.0,1991.75,6.0,0.0,0
0.0,32.125,62.0,2.535,1007.0,0.0,1991.75,6.0,0.0,0
0.0,32.125,62.0,2.535,1007.0,0.0,1991.75,6.0,0.0,0
0.0,32.125,62.0,2.535,1007.0,0.0,1991.75,6.0,0.0,0
0.0,32.125,62.0,2.535,1007.0,0.0,1991.75,6.0,0.0,0
0.0,32.125,62.0,2.535,1007.0,0.0,1991.75,6.0,0.0,0
0.6,32.125,62.0,2.535,1007.0,37.199999999999996,1991.75,6.0,1.5210000000000001,0
0.0,32.125,62.0,2.535,1007.0,0.0,1991.75,6.0,0.0,0
0.0,32.125,62.0,2.535,1007.0,0.0,1991.75,6.0,0.0,0
0.0,32.125,62.0,2.535,1007.0,0.0,1991.75,6.0,0.0,0
4.6,32.125,62.0,2.535,1007.0,285.2,1991.75,6.0,11.661,1
0.0,32.125,62.0,2.535,1007.0,0.0,1991.75,6.0,0.0,0
0.0,32.125,62.0,2.535,1007.0,0.0,1991.75,6.0,0.0,0
14.6,32.125,62.0,2.535,1007.0,905.1999999999999,1991.75,6.0,37.011,1
0.0,32.125,62.0,2.535,1007.0,0.0,1991.75,6.0,0.0,0
4.9,32.125,62.0,2.535,1007.0,303.8,1991.75,6.0,12.421500000000002,1
3.4,32.125,62.0,2.535,1007.0,210.79999999999998,1991.75,6.0,8.619,1
27.8,32.125,62.0,2.535,1007.0,1723.6000000000001,1991.75,6.0,70.473,2
3.5,32.4,62.0,2.04,1007.0,217.0,2008.8,6.0,7.140000000000001,1
0.6,32.4,62.0,2.04,1007.0,37.199999999999996,2008.8,6.0,1.224,0
1.0,32.4,62.0,2.04,1007.0,62.0,2008.8,6.0,2.04,0
0.0,32.4,62.0,2.04,1007.0,0.0,2008.8,6.0,0.0,0
1.5,32.4,62.0,2.04,1007.0,93.0,2008.8,6.0,3.06,0
15.7,32.4,62.0,2.04,1007.0,973.4,2008.8,6.0,32.028,1
0.0,32.4,62.0,2.04,1007.0,0.0,2008.8,6.0,0.0,0
3.0,32.4,62.0,2.04,1007.0,186.0,2008.8,6.0,6.12,1
2.3,32.4,62.0,2.04,1007.0,142.6,2008.8,6.0,4.691999999999999,1
0.0,32.4,62.0,2.04,1007.0,0.0,2008.8,6.0,0.0,0
0.0,32.4,62.0,2.04,1007.0,0.0,2008.8,6.0,0.0,0
0.0,32.4,62.0,2.04,1007.0,0.0,2008.8,6.0,0.0,0
0.5,32.4,62.0,2.04,1007.0,31.0,2008.8,6.0,1.02,0
0.0,32.4,62.0,2.04,1007.0,0.0,2008.8,6.0,0.0,0
0.4,32.4,62.0,2.04,1007.0,24.8,2008.8,6.0,0.8160000000000001,0
15.4,32.4,62.0,2.04,1007.0,954.8000000000001,2008.8,6.0,31.416,1
